"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2049.247042347,3.5259432692279,0.254574387942252,13.8503456601759,1.26601397369099e-43,3.29163633159657e-42
"Firmicutes Clostridia Clostridiales Lachnospiraceae",16101.1472074772,-3.12727249955766,0.233029797295323,-13.4200541555396,4.61375949103368e-41,5.99788733834378e-40
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2979.8009257952,-1.64305420131914,0.283421938505572,-5.79720190322119,6.74304922684971e-09,5.84397599660308e-08
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",93.9977907884475,4.63886696463024,0.856861917609998,5.4137858962961,6.17059439078266e-08,4.01088635400873e-07
"Firmicutes Clostridia Clostridiales unknown",65.03230417492,-3.6207172085461,0.896503559374346,-4.03870923956279,5.37461375993268e-05,0.000279479915516499
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",629.670241844423,1.26451906618258,0.406152813803045,3.11340712955342,0.0018494070426744,0.0080140971849224
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",17760.2674290803,0.469301287348281,0.158112807300366,2.96814214712381,0.0029960574080438,0.011128213229877
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",15.4229030339368,2.76476436721054,1.07251948270718,2.57782204592863,0.00994251860381419,0.0323131854623961
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",11828.3739644665,-0.364305910043506,0.185009167425788,-1.96912355810498,0.0489389041955205,0.141379056564837
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",59759.7689526562,0.188454007044174,0.135420500477301,1.39162096122782,0.164037207996387,0.426496740790607
"Firmicutes unknown unknown unknown",3.72747015374355,-5.88475004684271,4.65198928739133,-1.26499647425944,0.205872591752395,0.486607944142025
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",165.642525277166,1.21373320068286,1.30013897716643,0.933541122909883,0.350540648340275,0.714641936969001
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",24.1059364445533,2.13106580484063,2.39383125727287,0.89023225775254,0.373341187048243,0.714641936969001
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",30.0586456462931,0.949801464512155,1.14425328595549,0.830062256468886,0.406503585445111,0.714641936969001
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",142875.95006956,-0.103952942235943,0.126792851196014,-0.819864379224647,0.412293425174424,0.714641936969001
"Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae",7.24972063603337,-1.4010486978869,1.86507613964681,-0.751201877555635,0.452531170435094,0.735363151957028
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4.67895601540214,-0.423013375718551,1.44685496741092,-0.292367504170452,0.770005651235228,1
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",7.12108789655522,0.498654245993138,2.22518723072548,0.224095410537909,0.822683063538013,1
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",69.2990865873217,0.244018539855431,1.15869047607179,0.21059855491581,0.833200540033774,1
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",5.13564295857273,0.330181176018448,3.24494992751738,0.101752317722529,0.918953274071735,1
"Firmicutes Clostridia Clostridiales Eubacteriaceae",22.6631440798747,0.0849193918860055,1.51878474967736,0.0559127235798523,0.955411334736294,1
"Firmicutes Bacilli Lactobacillales Enterococcaceae",3.5462397633675,0,2.56210898792284,0,1,1
"Firmicutes Bacilli Lactobacillales Streptococcaceae",19.6094734341934,0,2.06920041839038,0,1,1
"Firmicutes Clostridia Clostridiales Clostridiaceae_1",3.11367584017623,0,5.16147393680411,0,1,1
"Firmicutes Negativicutes Veillonellales Veillonellaceae",31.9992901152277,0,5.16147393680411,0,1,1
"Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae",17.8389000200136,0,2.9040399453635,0,1,1
