"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Proteobacteria",17692.5580315194,-1.10322261724613,0.107638194470194,-10.2493601149322,1.19129560711672e-24,5.9564780355836e-24
"Bacteroidetes",156295.402019954,-0.695897381666089,0.0918375918122365,-7.57747854591901,3.523352587346e-14,8.80838146836501e-14
"Verrucomicrobia",64308.2750500387,1.01792990293402,0.135771182586576,7.49739291903806,6.50996167419043e-14,1.08499361236507e-13
"Actinobacteria",12.2629874949187,3.89542612319264,0.851329432537892,4.57569769622555,4.74635509381669e-06,5.93294386727086e-06
"Firmicutes",23032.9270598197,0.363190416773462,0.13158808934941,2.76005540143585,0.00577915601483837,0.00577915601483837
