"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",17760.2674290803,-2.02610588194254,0.158298632046952,-12.7992633653435,1.65513796360096e-37,4.30335870536249e-36
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",142875.95006956,-1.42669719790126,0.12680287467136,-11.2513001112861,2.28203227293438e-29,2.96664195481469e-28
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",629.670241844423,2.59217633293954,0.404487518344189,6.40854467784539,1.46915229364738e-10,1.27326532116106e-09
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2049.247042347,1.34413435413814,0.254465830933895,5.28218012298602,1.27655596153978e-07,7.84110598019895e-07
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",69.2990865873217,6.13106049368655,1.16746711169306,5.25159161425565,1.50790499619211e-07,7.84110598019895e-07
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",165.642525277166,5.60528228004345,1.22127432107759,4.58969961400453,4.43884330987305e-06,1.92349876761166e-05
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",11828.3739644665,-0.743542880524898,0.18506207999938,-4.01780246135453,5.87434090000221e-05,0.000218189804857225
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",93.9977907884475,3.25117831348968,0.873979572748704,3.71997059755594,0.000199245972016611,0.000641473282977065
"Firmicutes Bacilli Lactobacillales Streptococcaceae",19.6094734341934,6.18339283629261,1.6745754981787,3.69251362092529,0.000222048444107446,0.000641473282977065
"Firmicutes Clostridia Clostridiales Eubacteriaceae",22.6631440798747,5.91073718949665,1.72323147939617,3.43003088103276,0.000603512559251181,0.00156913265405307
"Firmicutes Clostridia Clostridiales unknown",65.03230417492,3.20366026039203,0.948957374363499,3.37597909762896,0.000735535070608834,0.00173853743962088
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",24.1059364445533,7.31091516593185,2.19808440216721,3.32603932711757,0.000880894989050312,0.00190860580960901
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4.67895601540214,-4.90091717357785,1.68108611198748,-2.91532785776434,0.00355315061139548,0.00710630122279096
"Actinobacteria Coriobacteriia Eggerthellales Eggerthellaceae",7.24972063603337,3.57761638800514,1.3841243521637,2.584750699901,0.0097449430332956,0.018097751347549
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",59759.7689526562,0.342528757598687,0.135405351700305,2.52965450255476,0.0114174893182052,0.0191011240880023
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",30.0586456462931,2.97318882033929,1.18010427937646,2.51942889480095,0.0117545379003091,0.0191011240880023
"Firmicutes Clostridia Clostridiales Lachnospiraceae",16101.1472074772,-0.564248965276264,0.232785079452298,-2.42390520304756,0.0153546130073998,0.0234835257760231
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",7.12108789655522,4.65551405438595,2.15723357146894,2.15809456887687,0.0309204799404989,0.0446629154696095
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",5.13564295857273,6.655368359838,3.11586707090411,2.13596029881559,0.0326826499680744,0.0447236262721018
"Firmicutes Negativicutes Veillonellales Veillonellaceae",31.9992901152277,-7.88876770028462,5.0400287456419,-1.56522275931581,0.117530686795241,0.152789892833814
"Firmicutes Bacilli Lactobacillales Enterococcaceae",3.5462397633675,3.38766260420265,2.31364434513363,1.4642106127193,0.143136411390007,0.177216509340009
"Firmicutes Clostridia Clostridiales Clostridiaceae_1",3.11367584017623,-6.95093673477073,5.08152228761544,-1.36788472850181,0.171348160689887,0.202502371724412
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",15.4229030339368,1.3501194006847,1.13026647650502,1.1945142395619,0.232276873975199,0.262573857537181
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2979.8009257952,0.239993201392077,0.282187613374891,0.850473904654497,0.395061662651982,0.42798346787298
"Firmicutes unknown unknown unknown",3.72747015374355,3.56462669574309,4.60485669393046,0.774101548141885,0.438870742050212,0.45642557173222
"Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae",17.8389000200136,0.795759369297423,2.9039970870669,0.274022096248435,0.78406764099066,0.78406764099066
