,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae,21569,5372,14245,30070,18751,12731,29543,5318,22370,29604,19993,12924,28737,6213,17282,26870,21597,12589,23393,5814,21493,37065,18694,14352,25506,3846,21177,32233,17274,15478
Proteobacteria Betaproteobacteria Burkholderiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Bdellovibrionales Bdellovibrionaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae,3,3072,3,2,102,87,40,0,7,8,117,47,55,3,0,10,152,116,19,0,2,13,48,17,5,2328,1,2,65,95
Proteobacteria Deltaproteobacteria unknown unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Chromatiales Chromatiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae,0,44,10,95,17,88,0,11,46,57,15,6,0,11,0,52,21,15,17,0,24,119,21,26,6,112,98,52,6,7
Proteobacteria Gammaproteobacteria Enterobacterales Morganellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Legionellales Legionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pasteurellales Pasteurellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Moraxellaceae,0,0,0,0,10,7,0,1,0,0,13,2,0,0,0,0,301,15,0,0,0,0,1,102,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Pseudomonadales Pseudomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Gammaproteobacteria Xanthomonadales Xanthomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Hydrogenophilalia Hydrogenophilales Hydrogenophilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria Oligoflexia Bacteriovoracales Bacteriovoracaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria unknown unknown unknown,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae,75042,123226,60216,76000,65882,32974,105890,74674,60284,68277,69007,29861,80287,90379,34022,70355,44042,35211,84251,93781,54545,75128,62908,36561,84132,84308,59170,73382,59516,29722
Verrucomicrobia Verrucomicrobiae Verrucomicrobiales unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unknown unknown unknown unknown,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3
