seqname,tax_id,species_name
S000003377,123320,Okibacterium fritillariae
S000003382,52690,Acetobacterium carbinolicum
S000003384,28107,Pseudoalteromonas espejiana
S000003452,28090,Acinetobacter lwoffii
S000003454,61598,Lamprocystis purpurea
S000003455,33879,Agromyces ramosus
S000003458,1656,Actinomyces viscosus
S000003470,79880,Alkalihalobacillus clausii
S000003473,1423,Bacillus subtilis
S000003483,43997,Catonella morbi
S000003489,43771,Corynebacterium urealyticum
S000003508,46470,Halanaerobacter lacunarum
S000003521,47853,Micromonospora carbonacea
S000003525,314281,Pseudoalteromonas tunicata
S000003538,53441,Nocardiopsis lucentensis
S000003547,54005,Peptoniphilus harei
S000003555,43263,Pseudomonas alcaligenes
S000003565,46355,Spirochaeta africana
S000003607,160799,Paenibacillus borealis
S000003677,34058,Methylobacter marinus
S000003703,104609,Vibrio penaeicida
S000003708,269709,Methylotuvimicrobium kenyense
S000003709,45243,Capnocytophaga haemolytica
S000003746,47715,Lacticaseibacillus rhamnosus
S000003748,155975,Actinokineospora enzanensis
S000003791,52695,Actinoplanes brasiliensis
S000003861,52762,Skermanella parooensis
S000003862,52693,Acetobacterium paludosum
S000003900,873,Desulfocurvibacter africanus
S000003927,83617,Stenotrophomonas nitritireducens
S000003968,68214,Streptomyces griseochromogenes
S000004024,28111,Bacteroides eggerthii
S000004105,36813,Mycobacterium pulveris
S000004193,29438,Pseudomonas savastanoi
S000004267,43665,Paenarthrobacter ilicis
S000004268,1381,Atopobium minutum
S000004297,84031,Clostridium sartagoforme
S000004306,58138,Desulfofarcimen acetoxidans
S000004313,562,Escherichia coli
S000004324,47885,Pseudomonas oryzihabitans
S000004333,43674,Jonesia denitrificans
S000004347,53376,Mycobacterium heidelbergense
S000004356,53437,Nocardiopsis alba
S000004390,114688,Streptomyces griseiniger
S000004412,56460,Xanthomonas vesicatoria
S000004441,146820,Streptomyces stelliscabiei
S000004442,1535,Clostridium leptum
S000004495,2724,Hirschia baltica
S000004636,636,Edwardsiella tarda
S000004639,37928,Arthrobacter crystallopoietes
S000004663,76761,Pseudomonas veronii
S000004697,89784,Alicyclobacillus hesperidum
S000004698,1659,Actinomyces israelii
S000004703,37931,Paenarthrobacter ureafaciens
S000004716,76489,Clostridium acetireducens
S000004718,43671,Actinotalea fermentans
S000004732,80871,Cryptosporangium arvum
S000004736,79269,Desulfurella multipotens
S000004739,42252,Desulfovibrio termitidis
S000004741,53345,Enterococcus durans
S000004751,88132,Eremococcus coleocola
S000004753,46201,Geovibrio ferrireducens
S000004758,45248,Leucothrix mucor
S000004769,53440,Nocardiopsis listeri
S000004775,53247,Pseudoalteromonas antarctica
S000004778,48466,Prosthecobacter vanneervenii
S000004779,60133,Prevotella pallens
S000004781,46678,Pseudomonas caricapapayae
S000004794,60137,Sulfitobacter pontiacus
S000004812,672,Vibrio vulnificus
S000004814,60216,Xanthobacter tagetidis
S000004818,88373,Agromyces luteolus
S000004827,84025,Clostridium haemolyticum
S000004837,148814,Apilactobacillus kunkeei
S000004840,47679,Sporomusa sphaeroides
S000004844,106262,Marinitoga camini
S000004852,114696,Streptomyces cangkringensis
S000004853,76517,Campylobacter hominis
S000004997,33995,Komagataeibacter europaeus
S000005054,52770,Buchananella hordeovulneris
S000005084,1493,Clostridium cellulovorans
S000005089,332101,Clostridium drakei
S000005099,71657,Lonsdalea quercina
S000005120,47860,Micromonospora fulviviridis
S000005131,119,Rubinisphaera brasiliensis
S000005151,35813,Roseococcus thiosulfatophilus
S000005163,33058,Thauera selenatis
S000005166,41899,Burkholderia plantarii
S000005174,687,Vibrio gazogenes
S000005176,29498,Vibrio tubiashii
S000005219,614,Serratia liquefaciens
S000005350,83264,Aminobacter aganoensis
S000005383,58346,Streptomyces platensis
S000005441,80881,Simplicispira metamorpha
S000005442,1655,Actinomyces naeslundii
S000005503,45056,Legionella adelaidensis
S000005554,60921,Sanguibacter suarezii
S000005601,100468,Schleiferilactobacillus perolens
S000005673,141692,Nocardiopsis halophila
S000005734,164400,Thauera phenylacetica
S000005758,83340,Clostridium nitritogenes
S000005816,46353,Agrococcus jenensis
S000005842,28898,Campylobacter helveticus
S000005861,58115,Glycomyces rutgersensis
S000005872,1642,Listeria innocua
S000005880,29405,Microlunatus phosphovorus
S000005891,43677,Promicromonospora citrea
S000005892,36746,Pseudomonas cichorii
S000005894,52227,Prevotella dentalis
S000005898,47878,Pseudomonas azotoformans
S000005905,47479,Streptosporangium album
S000006100,83291,Streptomyces armeniacus
S000006115,28901,Salmonella enterica
S000006150,876,Desulfovibrio desulfuricans
S000006170,1665,Arthrobacter globiformis
S000006177,131110,Schaalia radingae
S000006178,57909,Kribbella koreensis
S000006192,33942,Brevibacillus thermoruber
S000006193,47848,Brachybacterium tyrofermentans
S000006194,38282,Bacillus vedderi
S000006206,61644,Chromatium okenii
S000006233,51670,Hyphomicrobium facile
S000006245,1641,Listeria grayi
S000006247,36805,Microbacterium aurum
S000006251,36806,Microbacterium dextranolyticum
S000006374,94136,Alkalibacillus haloalkaliphilus
S000006425,178214,Facklamia hominis
S000006470,185678,Amycolatopsis viridis
S000006479,65515,Nonomuraea dietziae
S000006483,70775,Pseudomonas plecoglossicida
S000006491,86179,Chromohalobacter beijerinckii
S000006560,52769,Actinomyces gerencseriae
S000006584,52766,Caldicellulosiruptor lactoaceticus
S000006586,1719,Corynebacterium pseudotuberculosis
S000006587,29362,Ruminiclostridium papyrosolvens
S000006614,114,Gemmata obscuriglobus
S000006620,29581,Janthinobacterium lividum
S000006621,53458,Janibacter limosus
S000006644,421628,Ectothiorhodospira haloalkaliphila
S000006645,53408,Pseudomonas citronellolis
S000006658,85336,Rothia nasimurium
S000006708,114090,Pediococcus inopinatus
S000006799,44935,Halomonas venusta
S000006814,124252,Nocardiopsis halotolerans
S000006832,288,Pseudoalteromonas atlantica
S000006846,86666,Salimicrobium halophilum
S000006847,72360,Bacillus mojavensis
S000006848,863372,Herbaspirillum huttiense
S000006851,89061,Weissella thailandensis
S000006930,437,Acidomonas methanolica
S000006932,438,Acetobacter pasteurianus
S000006936,52774,Actinomyces slackii
S000006950,79881,Bacillus gibsonii
S000006976,35519,Mogibacterium timidum
S000006979,61171,Holdemania filiformis
S000006983,45068,Legionella londiniensis
S000007000,1272,Kocuria varians
S000007007,76115,Aromatoleum bremense
S000007012,53412,Pseudomonas resinovorans
S000007039,37925,Thermocrispum agreste
S000007041,36878,Hymenobacter ocellatus
S000007051,28175,Vibrio orientalis
S000007068,46179,Nonomuraea roseola
S000007088,120377,Salana multivorans
S000007118,415,Methylobacter luteus
S000007128,65505,Virgisporangium ochraceum
S000007214,1927,Streptomyces rimosus
S000007272,654,Aeromonas ichthiosmia
S000007305,82801,Desemzia incerta
S000007327,43064,Trichococcus pasteurii
S000007353,1713,Oerskovia turbata
S000007364,54011,Pseudonocardia sulfidoxydans
S000007365,42444,Marinovum algicola
S000007376,47481,Streptosporangium carneum
S000007381,47917,Serratia fonticola
S000007395,34071,Telluria mixta
S000007401,691,Vibrio natriegens
S000007404,40269,Aliivibrio salmonicida
S000007411,88374,Agromyces rhizospherae
S000007457,101571,Burkholderia ubonensis
S000007486,175570,Virgisporangium aurantiacum
S000007501,170623,Azotobacter beijerinckii
S000007528,191577,Chryseobacterium tenax
S000007613,83263,Aminobacter aminovorans
S000007628,86663,Bacillus carboniphilus
S000007645,67780,Edwardsiella ictaluri
S000007646,52689,Acetobacterium bakii
S000007648,75697,Castellaniella defragrans
S000007669,83784,Paraburkholderia sartisoli
S000007743,1521,Ruminiclostridium cellulolyticum
S000007747,41986,Agromyces mediolanus
S000007769,1861,Geodermatophilus obscurus
S000007772,84,Hyphomicrobium methylovorum
S000007776,83683,Lactobacillus amylolyticus
S000007780,28083,Legionella birminghamensis
S000007789,107400,Methylobacterium fujisawaense
S000007793,82380,Microbacterium oxydans
S000007810,77768,Prevotella albensis
S000007815,146806,Phocoenobacter uteri
S000007836,149015,Streptococcus hyovaginalis
S000007867,161890,Corynebacterium mastitidis
S000007910,76635,Mycetocola tolaasinivorans
S000007914,164115,Streptomyces niveiscabiei
S000008023,85831,Bacteroides acidifaciens
S000008031,113565,Actinoplanes globisporus
S000008088,43657,Pseudoalteromonas luteoviolacea
S000008099,1698,Brevibacterium epidermidis
S000008127,29503,Desulfomicrobium escambiense
S000008149,72000,Kocuria rhizophila
S000008156,47855,Micromonospora citrea
S000008158,1776,Mycobacterium flavescens
S000008159,55518,Magnetospirillum gryphiswaldense
S000008182,33011,Cutibacterium granulosum
S000008199,2002,Streptosporangium amethystogenes
S000008216,60549,Paraburkholderia phenazinium
S000008217,60548,Paraburkholderia graminis
S000008354,984,Pedobacter heparinus
S000008376,200254,Aromatoleum buckelii
S000008496,39060,Desulfallas geothermicus
S000008497,32062,Deinococcus radiophilus
S000008531,2014,Nocardiopsis dassonvillei
S000008536,122,Gimesia maris
S000008537,54010,Pseudonocardia asaccharolytica
S000008544,1750,Arachnia propionica
S000008558,43661,Shewanella benthica
S000008567,67356,Streptomyces resistomycificus
S000008574,583357,Thermoanaerobacter mathranii
S000008586,88376,Agromyces bracchium
S000008602,112903,Propionispora vibrioides
S000008660,132132,Desulfomicrobium orale
S000008742,1596,Lactobacillus gasseri
S000008758,86174,Thauera butanivorans
S000008814,905,Acidaminococcus fermentans
S000008827,29430,Acinetobacter haemolyticus
S000008828,34010,Azospirillum halopraeferens
S000008874,33002,Desulfurella acetivorans
S000008875,554,Pectobacterium carotovorum
S000008887,55508,Janthinobacterium agaricidamnosum
S000008902,1804,Mycobacterium gilvum
S000008913,489,Neisseria polysaccharea
S000008916,2074,Pseudonocardia autotrophica
S000008918,551760,Aromatoleum aromaticum
S000008928,301,Pseudomonas oleovorans
S000008929,47884,Pseudomonas taetrolens
S000008942,47482,Sphaerisporangium cinnabarinum
S000008947,44032,Streptomyces macrosporus
S000008950,55504,Sporomusa silvacetica
S000008954,1914,Streptomyces lavendulae
S000008956,1934,Streptomyces thermovulgaris
S000008973,80852,Aliivibrio wodanis
S000008975,56448,Xanthomonas arboricola
S000009040,153494,Rarobacter incanus
S000009130,83338,Clostridium budayi
S000009145,93378,Edwardsiella hoshinae
S000009214,29356,Clostridium chartatabidum
S000009218,33977,Caryophanon latum
S000009225,1714,Cellulomonas uda
S000009236,71656,Brenneria alni
S000009243,214095,Enterococcus canis
S000009280,33012,Propionibacterium lymphophilum
S000009281,330,Pseudomonas oleovorans
S000009291,60890,Phaeobacter gallaeciensis
S000009301,25,Shewanella hanedai
S000009305,67327,Streptomyces melanosporofaciens
S000009314,82788,Thauera mechernichensis
S000009364,156979,Pseudoglutamicibacter cumminsii
S000009503,1670,Arthrobacter citreus
S000009593,94624,Bordetella petrii
S000009597,1561,Clostridium baratii
S000009600,1712,Cellulomonas gelida
S000009616,36740,Dermabacter hominis
S000009618,37915,Dietzia maris
S000009620,1299,Deinococcus radiodurans
S000009621,57497,Deinococcus radiopugnans
S000009623,466107,Desulfovibrio litoralis
S000009624,53362,Dactylosporangium vinaceum
S000009638,42421,Halanaerobium acetethylicum
S000009652,88874,Luteococcus peritonei
S000009655,69969,Macrococcus carouselicus
S000009659,69362,Microbacterium schleiferi
S000009680,36876,Porphyromonas crevioricanis
S000009690,47883,Pseudomonas synxantha
S000009713,74714,Thermoanaerobacter sulfurophilus
S000009714,76113,Thauera terpenica
S000009721,28174,Vibrio ordalii
S000009734,13243,Rarobacter faecitabidus
S000009737,1335,Streptococcus equinus
S000009787,164348,Streptomyces puniciscabiei
S000009879,57037,Lacticaseibacillus casei
S000009982,46161,Actinomadura kijaniata
S000009984,645,Aeromonas salmonicida
S000009988,52694,Acetobacterium wieringae
S000009995,53363,Brevibacterium mcbrellneri
S000010009,33978,Caryophanon tenue
S000010018,40218,Desulforhabdus amnigena
S000010022,14,Dictyoglomus thermophilum
S000010034,577,Raoultella terrigena
S000010043,52226,Mitsuokella multacida
S000010081,392844,Desulfothermus naphthae
S000010083,46189,Sphaerisporangium viridialbum
S000010085,76112,Thauera linaloolentis
S000010116,1648,Erysipelothrix rhusiopathiae
S000010130,101564,Pseudomonas alcaliphila
S000010260,53410,Pseudomonas ficuserectae
S000010261,86189,Stenotrophomonas maltophilia
S000010336,40215,Acinetobacter junii
S000010338,37929,Glutamicibacter nicotianae
S000010347,84757,Beutenbergia cavernae
S000010354,34095,Borrelia japonica
S000010355,79884,Alkalihalobacillus pseudalcaliphilus
S000010358,46506,Bacteroides stercoris
S000010365,43768,Corynebacterium matruchotii
S000010396,53399,Hyphomicrobium denitrificans
S000010434,47879,Pseudomonas corrugata
S000010445,61651,Serratia ficaria
S000010467,685,Vibrio diazotrophicus
S000010535,156203,Petrotoga olearia
S000010683,78510,Streptomyces yanii
S000010695,1422,Geobacillus stearothermophilus
S000010699,80866,Delftia acidovorans
S000010738,102109,Desulfovibrio inopinatus
S000010752,272240,Gulosibacter faecalis
S000010758,52773,Schaalia meyeri
S000010760,1676,Pseudarthrobacter polychromogenes
S000010801,50715,Acidisphaera rubrifaciens
S000010831,36807,Microbacterium laevaniformans
S000010837,1787,Mycobacterium szulgai
S000010869,315405,Streptococcus gallolyticus
S000010870,1283,Staphylococcus haemolyticus
S000010876,67360,Streptomyces roseoviolaceus
S000010882,53424,Thermodesulfobacterium hveragerdense
S000010910,147047,Desulfovibrio mexicanus
S000010999,29570,Halomonas meridiana
S000011030,149017,Arcanobacterium hippocoleae
S000011134,52692,Acetobacterium malicum
S000011221,37921,Arthrobacter agilis
S000011227,47866,Micromonospora inyonensis
S000011249,1744,Propionibacterium freudenreichii
S000011276,33059,Acidithiobacillus caldus
S000011324,98671,Pseudoglutamicibacter albus
S000011357,102227,Pseudonocardia kongjuensis
S000011381,161358,Microtetraspora malaysiensis
S000011394,189863,Falsarthrobacter nasiphocae
S000011436,1349,Streptococcus uberis
S000011437,1311,Streptococcus agalactiae
S000011480,227,Pseudoalteromonas carrageenovora
S000011492,150723,Aminobacter ciceronei
S000011521,100716,Chloroherpeton thalassium
S000011541,28264,Arcanobacterium haemolyticum
S000011542,1661,Trueperella pyogenes
S000011551,33889,Brevibacterium casei
S000011560,38286,Corynebacterium afermentans
S000011583,1564,Desulfotomaculum ruminis
S000011604,2109,Mycoplasmopsis synoviae
S000011660,671,Vibrio proteolyticus
S000011673,161889,Corynebacterium lipophiloflavum
S000011688,28169,Vibrio pelagia
S000011696,2030,Kibdelosporangium aridum
S000011733,244787,Nautilia profundicola
S000011830,1112,Porphyrobacter neustonensis
S000011834,68183,Streptomyces capoamus
S000011862,49185,Kineosporia aurantiaca
S000011903,59505,Actinotignum schaalii
S000011919,1459,Sporosarcina globispora
S000011943,1071,Rhodopila globiformis
S000011947,39950,Dialister pneumosintes
S000011949,159728,Desulfovibrio cuneatus
S000011961,45668,Halobacillus litoralis
S000011962,128,Isosphaera pallida
S000011972,37922,Nesterenkonia halobia
S000011985,33010,Cutibacterium avidum
S000011991,45622,Propionigenium maris
S000011995,47882,Pseudomonas straminea
S000012007,42443,Roseobacter litoralis
S000012012,46357,Spirochaeta asiatica
S000012021,35785,Sarcina maxima
S000012027,114686,Streptomyces phaeoluteigriseus
S000012028,56359,Sandaracinobacter sibiricus
S000012031,29575,Taylorella equigenitalis
S000012074,146821,Streptomyces reticuliscabiei
S000012082,153721,Sporocytophaga myxococcoides
S000012086,111015,Actinomyces radicidentis
S000012103,76637,Mycetocola lacteus
S000012241,72361,Bacillus vallismortis
S000012284,305698,Aminobacter lissarensis
S000012367,28187,Acetohalobium arabaticum
S000012379,47871,Micromonospora peucetia
S000012396,195064,Ectothiorhodospira mobilis
S000012413,1828,Rhodococcus fascians
S000012433,44033,Streptomyces thermolineatus
S000012436,60922,Sanguibacter inulinus
S000012562,121163,Schaalia suimastitidis
S000012597,84163,Cryptobacterium curtum
S000012670,52771,Actinomyces howellii
S000012680,75105,Paraburkholderia caribensis
S000012687,85701,Bartonella tribocorum
S000012689,38286,Corynebacterium afermentans
S000012691,43765,Corynebacterium amycolatum
S000012703,1724,Corynebacterium renale
S000012727,48727,Halomonas pantelleriensis
S000012736,53417,Lonepinella koalarum
S000012756,65735,Paracoccus alkenifer
S000012810,161879,Corynebacterium kroppenstedtii
S000012860,124798,Microbacterium phyllosphaerae
S000012953,185684,Amycolatopsis granulosa
S000012966,86664,Bacillus flexus
S000012980,470,Acinetobacter baumannii
S000013054,1710,Cellulosimicrobium cellulans
S000013055,71254,Corynebacterium confusum
S000013058,33957,Caloramator indicus
S000013118,266,Paracoccus denitrificans
S000013175,104087,Pseudomonas frederiksbergensis
S000013211,29313,Mycobacterium shimoidei
S000013341,76759,Pseudomonas monteilii
S000013342,76760,Pseudomonas rhodesiae
S000013381,66864,Ammoniphilus oxalivorans
S000013427,53442,Eubacterium callanderi
S000013448,45075,Legionella shakespearei
S000013457,33885,Microbacterium lacticum
S000013460,1273,Micrococcus lylae
S000013501,52443,Vibrio tapetis
S000013532,156205,Halobacillus trueperi
S000013627,33871,Coriobacterium glomerans
S000013732,120,Planctopirus limnophila
S000013757,88382,Promicromonospora sukumoe
S000013765,137733,Granulicatella balaenopterae
S000013858,79885,Alkalihalobacillus pseudofirmus
S000013862,1709,Cellulomonas biazotea
S000013868,35756,Corynebacterium pilosum
S000013898,89093,Ignavigranum ruoffiae
S000013901,51670,Hyphomicrobium facile
S000013910,65552,Meiothermus cerbereus
S000013923,41976,Porphyromonas catoniae
S000013928,28133,Prevotella nigrescens
S000013935,623,Shigella flexneri
S000013942,45670,Salinicoccus roseus
S000013955,28171,Vibrio aestuarianus
S000013965,158627,Pseudomonas graminis
S000013970,161902,Corynebacterium sundsvallense
S000013995,28116,Bacteroides ovatus
S000014057,142461,Vibrio ichthyoenteri
S000014058,1296,Staphylococcus sciuri
S000014117,29468,Methylocystis echinoides
S000014133,1452,Bacillus atrophaeus
S000014216,47678,Bacteroides caccae
S000014222,33936,Aeribacillus pallidus
S000014233,147709,Carnobacterium inhibens
S000014236,1725,Corynebacterium xerosis
S000014243,71383,Algicola bacteriolytica
S000014342,34101,Sporosarcina limicola
S000014353,2378,Sporomusa ovata
S000014396,165694,Bartonella schoenbuchensis
S000014419,178339,Pauljensenia hongkongensis
S000014472,160825,Comamonas koreensis
S000014494,185696,Amycolatopsis deserti
S000014502,65497,Actinoalloteichus cyanogriseus
S000014523,1658,Actinomyces bovis
S000014590,28108,Alteromonas macleodii
S000014598,47847,Brachybacterium nesterenkovii
S000014604,29353,Acetivibrio aldrichii
S000014607,1520,Clostridium beijerinckii
S000014612,84026,Clostridium methylpentosum
S000014628,35517,Eubacterium brachy
S000014631,71452,Enterococcus raffinosus
S000014647,180,Leptospirillum ferrooxidans
S000014657,46181,Nonomuraea salmonea
S000014660,1881,Micromonospora viridifaciens
S000014668,421629,Halorhodospira abdelmalekii
S000014669,76116,Aromatoleum petrolei
S000014690,1267,Sarcina ventriculi
S000014709,161896,Corynebacterium camporealensis
S000014740,119495,Actinomyces catuli
S000014753,104336,Microbacterium foliorum
S000014838,155976,Actinokineospora auranticolor
S000014863,86185,Pseudomonas lundensis
S000014865,86332,Mogibacterium pumilum
S000014924,52691,Acetobacterium fimetarium
S000014927,1671,Pseudarthrobacter oxydans
S000014929,43666,Paeniglutamicibacter sulfureus
S000014948,29355,Ruminiclostridium cellobioparum
S000014966,71451,Enterococcus malodoratus
S000014972,442,Gluconobacter oxydans
S000014978,71999,Kocuria palustris
S000014988,88139,Modestobacter multiseptatus
S000014990,84594,Micromonospora gifhornensis
S000014993,115862,Mycobacterium caprae
S000015010,69499,Petrotoga mobilis
S000015026,46356,Alkalispirochaeta alkalica
S000015029,618,Serratia odorifera
S000015039,337,Burkholderia glumae
S000015063,61648,Kluyvera intermedia
S000015074,75294,Saccharomonospora xinjiangensis
S000015147,37482,Laceyella sacchari
S000015160,36814,Mycobacterium rhodesiae
S000015177,132919,Rhodococcus jostii
S000015214,304,Pelomonas saccharophila
S000015298,43658,Pseudoalteromonas rubra
S000015305,47845,Brachybacterium alimentarium
S000015326,37658,Clostridium populeti
S000015332,28885,Hydrogenovibrio marinus
S000015335,100225,Austwickia chelonae
S000015339,53329,Desulfospira joergensenii
S000015345,55212,Erwinia rhapontici
S000015364,2097,Mycoplasmoides genitalium
S000015367,39692,Mycobacterium parafortuitum
S000015368,47875,Micromonospora sagamiensis
S000015378,64002,Nevskia ramosa
S000015393,53372,Pilimelia terevasa
S000015397,787,Rickettsia australis
S000015406,42906,Serratia entomophila
S000015417,60920,Sanguibacter keddieii
S000015422,60547,Caballeronia glathei
S000015432,56450,Xanthomonas cassavae
S000015514,34014,Pararhizobium capsulatum
S000015591,86182,Curvibacter lanceolatus
S000015594,293,Brevundimonas diminuta
S000015603,90736,Moritella marina
S000015682,84024,Clostridium disporicum
S000015700,29360,Cellulosilyticum lentocellum
S000015701,83564,Desulfosarcina ovata
S000015709,566,Pseudescherichia vulneris
S000015715,42422,Halobacteroides halobius
S000015720,35787,Limosilactobacillus pontis
S000015744,37331,Pseudonocardia petroleophila
S000015763,35765,Streptosporangium pseudovulgare
S000015773,1952,Streptomyces thermoviolaceus
S000015784,114404,Sphingomonas fennica
S000015943,53407,Pseudomonas asplenii
S000016025,33939,Bacillus thermocloacae
S000016027,84022,Clostridium aceticum
S000016032,33881,Curtobacterium luteum
S000016045,53360,Dactylosporangium matsuzakiense
S000016062,45070,Legionella nautarum
S000016079,549,Pantoea agglomerans
S000016080,1396821,Ectothiorhodospira marina
