"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Firmicutes Clostridia Clostridiales Christensenellaceae",185.919223969773,7.00189190800756,1.40190406373457,4.994558535878,5.89705039217334e-07,1.29891658508687e-05
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",525.937671595771,-2.08653854008976,0.425271765127986,-4.90636508506933,9.27797560776337e-07,1.29891658508687e-05
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",134.265421507055,3.28721113921491,0.875503886428154,3.75465053916088,0.000173583493127645,0.00162011260252469
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",25674.697771771,-2.22253488915636,0.701334287404984,-3.16900931420306,0.00152959493235486,0.00922237730761402
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4293.04843423332,2.48699115076077,0.790153540489223,3.14747833594589,0.00164685309064536,0.00922237730761402
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2713.79419617627,1.12701396791448,0.526290008643055,2.14143143401162,0.0322392622906986,0.131791994987028
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2947.87263423955,-1.14438336340746,0.553308982754449,-2.06825372274015,0.0386161708993369,0.131791994987028
"Firmicutes Clostridia Clostridiales Lachnospiraceae",12436.111173163,0.926861633891485,0.45349654283632,2.0438119066897,0.0409721324506953,0.131791994987028
"Firmicutes Clostridia Clostridiales Eubacteriaceae",32.6633447773578,2.26270807581926,1.11466246497514,2.02994910739164,0.0423617126744019,0.131791994987028
"Firmicutes Clostridia Clostridiales unknown",118.298116333634,1.20043942736618,0.62291471662793,1.92713287280256,0.0539630729445121,0.151096604244634
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",3475.49612764688,0.834310581399728,0.465531048659008,1.79216957451713,0.0731058067745622,0.186087508153431
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",110643.902489574,-0.413812617351577,0.247868940891098,-1.66948152464728,0.0950219888607874,0.221717974008504
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",8459.94193993957,0.838489645149434,0.514858167869018,1.62858374884081,0.1034011668427,0.222710205507354
"Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae",31.7020525569163,2.19221709554199,1.60025939640501,1.36991359055089,0.170713876761561,0.341427753523121
"Firmicutes Clostridia Clostridiales Catabacteriaceae",3.82773880672163,-1.92445306621222,1.47934522028702,-1.30088166022454,0.193298964573268,0.3608247338701
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",1779.32306229444,-0.79870041005688,0.715825717391614,-1.1157749584176,0.264518475358602,0.462907331877553
"unknown unknown unknown unknown",8.95458595351414,-1.51330922920453,1.5715020008785,-0.962969966540643,0.335562595448668,0.552691333680158
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",11939.6457674351,-0.916517737554696,1.03210387757065,-0.888009198949997,0.374535803121256,0.582611249299732
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",18599.4909575407,0.238704691716767,0.307647307129111,0.775903725419539,0.437805832802169,0.638111265026944
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",18.3548975421296,-1.92366937500287,2.57936838914178,-0.745790862251716,0.455793760733532,0.638111265026944
"Proteobacteria unknown unknown unknown",460.760515472481,-0.934051977706521,1.63955924923094,-0.569696995180048,0.568883228440775,0.755896710000768
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",1010.42481693277,0.300835223681061,0.56677446142322,0.530784719773077,0.595567969939248,0.755896710000768
"Firmicutes Clostridia unknown unknown",19.5684075634755,-0.737921783778738,1.59241163678386,-0.463398889290394,0.643078474654032,0.755896710000768
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",40.2084042144026,-0.450584708263579,0.98668428475127,-0.456665536511677,0.647911465714944,0.755896710000768
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",6164.41708210511,-0.124736670151461,0.361143092702606,-0.345394035416811,0.729798160647318,0.817373939924996
"Firmicutes unknown unknown unknown",144.624729622288,0.114738233743969,1.77527998229255,0.0646310637693323,0.94846775109701,1
"Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae",4.2978873164487,0,2.39370214259098,0,1,1
"Firmicutes Bacilli Lactobacillales Streptococcaceae",39.3132966118615,0,2.40993863854733,0,1,1
