"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Bacteroidetes Bacteroidia Bacteroidales Prevotellaceae",4293.04843423332,-11.4020524003014,1.13258231755873,-10.0673056814787,7.70601730197651e-24,2.15768484455342e-22
"Bacteroidetes Bacteroidia Bacteroidales Bacteroidaceae",110643.902489575,-1.85921061008041,0.247882314873954,-7.50037618063151,6.36349427365707e-14,8.9088919831199e-13
"Proteobacteria Betaproteobacteria Burkholderiales Sutterellaceae",8459.94193993957,-3.81312754726932,0.515201059633295,-7.40124166278578,1.34916942226941e-13,1.25922479411812e-12
"Proteobacteria Gammaproteobacteria Enterobacterales Enterobacteriaceae",11939.6457674351,7.79606027593953,1.20801692648128,6.45360185361634,1.09222534256922e-10,7.64557739798451e-10
"Proteobacteria Deltaproteobacteria Desulfovibrionales Desulfovibrionaceae",3475.49612764689,2.85225650729863,0.465399129460948,6.12862450044175,8.86420517102306e-10,4.96395489577291e-09
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelotrichaceae",2947.87263423955,2.28550199639903,0.553778582027706,4.12710435284527,3.67359718606274e-05,0.000171434535349595
"unknown unknown unknown unknown",8.95458595351414,-5.90349003672147,1.48688416820401,-3.970376551828,7.1759129603937e-05,0.000287036518415748
"Proteobacteria Betaproteobacteria Burkholderiales Oxalobacteraceae",31.7020525569163,-6.8140461502845,1.86182211384312,-3.65988033959869,0.000252333054447616,0.000883165690566657
"Firmicutes Clostridia Clostridiales Christensenellaceae",185.919223969773,4.96109956380616,1.43798707391935,3.4500307087492,0.000560522788370419,0.00174384867493019
"Proteobacteria unknown unknown unknown",460.760515472481,-5.2590379200103,1.64808927925809,-3.19099091669217,0.00141785737761114,0.00342378955074032
"Firmicutes Bacilli Lactobacillales Streptococcaceae",39.3132966118616,6.23426989413115,1.95576390000992,3.18763931275116,0.00143439341011959,0.00342378955074032
"Firmicutes unknown unknown unknown",144.624729622288,5.22876088938618,1.65155554674129,3.16596126585213,0.00154571375008623,0.00342378955074032
"Firmicutes Clostridia Clostridiales Peptostreptococcaceae",18.3548975421296,7.37636891807128,2.33591627353074,3.15780535529294,0.00158961657712943,0.00342378955074032
"Firmicutes Negativicutes Acidaminococcales Acidaminococcaceae",6164.41708210512,-0.931589790003881,0.361129357167645,-2.57965676706647,0.00988985583367355,0.0197797116673471
"Firmicutes Clostridia Clostridiales Catabacteriaceae",3.82773880672163,2.946567174744,1.41270845800346,2.08575743852224,0.0370006005538494,0.0690677877005188
"Bacteroidetes Bacteroidia Bacteroidales Rikenellaceae",1779.32306229444,-1.29351708800359,0.715484035517852,-1.8078909155078,0.0706234799327369,0.12359108988229
"Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Akkermansiaceae",25674.697771771,1.15784697901434,0.701217372219888,1.65119551352368,0.0986986589343031,0.156815750972332
"Firmicutes Erysipelotrichia Erysipelotrichales Erysipelatoclostridiaceae",134.265421507055,1.42090848324059,0.86942093719552,1.63431592506157,0.102192531520995,0.156815750972332
"Firmicutes Clostridia Clostridiales unknown",118.298116333634,-0.997342921309664,0.61772634389939,-1.6145384297745,0.106410688159797,0.156815750972332
"Bacteroidetes Bacteroidia Bacteroidales Odoribacteraceae",525.937671595771,-0.597595855253566,0.423902587271763,-1.40974807230994,0.158614084574206,0.215476479814769
"Firmicutes Clostridia Clostridiales Clostridiales_Incertae_Sedis_XIII",40.2084042144027,1.40508330948413,1.00385606647669,1.39968602711706,0.161607359861077,0.215476479814769
"Firmicutes Clostridia Clostridiales Eubacteriaceae",32.6633447773578,1.15987562856014,1.11366496240717,1.04149422646204,0.297646231376187,0.374922436377384
"Firmicutes Clostridia Clostridiales Ruminococcaceae",2713.79419617627,0.535708432602478,0.525468820503746,1.01948662165895,0.307972001309994,0.374922436377384
"Bacteroidetes Bacteroidia Bacteroidales Porphyromonadaceae",18599.4909575407,-0.197695582883203,0.307781051071654,-0.642325387462456,0.520661933722248,0.607438922675956
"Actinobacteria Coriobacteriia Coriobacteriales Coriobacteriaceae",4.2978873164487,0.90308884718396,1.9256917292447,0.468968544377647,0.639092120228134,0.71578317465551
"Firmicutes Clostridia Clostridiales Lachnospiraceae",12436.111173163,0.0894957785074249,0.453367459152707,0.197402298512298,0.843512731058553,0.896949643890278
"Firmicutes Clostridia unknown unknown",19.5684075634755,-0.313740000629415,2.1390293184712,-0.146674006718922,0.883389336310056,0.896949643890278
"Bacteroidetes Bacteroidia Bacteroidales Barnesiellaceae",1010.42481693277,-0.0733852734904524,0.566613182286102,-0.129515648037637,0.896949643890278,0.896949643890278
