""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"4-D59AM"	80254	77483	77009	77208	70093	56993
"4-D59PM"	67204	64631	64236	64431	59044	46899
"4-D6"	101419	91443	90827	91105	82038	65665
"4-D60AM"	60647	56665	56333	56453	51389	41800
"4-D60PM"	80752	77014	76567	76789	70812	57953
"4-D61"	88730	83060	82509	82619	74784	59836
"4-D62"	85280	80026	79586	79719	72837	57881
"4-D63"	61481	58546	57993	58319	53400	39693
"4-D64AM"	49007	46580	46120	46388	42036	30107
"4-D64PM"	51071	48209	47998	48093	44629	36005
"4-D7"	71317	63845	63234	63494	56805	46134
"4-D8"	34634	31346	31259	31250	28310	24512
"4-D9"	51119	47162	46762	47008	42957	35402
"5-D0AM"	12040	10891	10787	10810	10030	9780
"5-D0PM"	47614	43311	42998	43207	31364	25443
"5-D10"	79536	73995	73494	73813	67407	53799
"5-D11"	56304	52291	51956	52136	47657	38388
"5-D14"	139952	125782	124949	125270	110333	90393
"5-D16"	116287	101399	100914	100971	85833	72818
"5-D18"	123023	111067	109949	110566	95314	75176
"5-D1AM"	45560	39487	39317	39195	33923	30109
"5-D1PM"	55379	48103	48010	47770	41911	35826
"5-D21AM"	121720	112504	111935	112150	100804	84131
"5-D21PM"	122868	111742	111030	111384	98032	79367
"5-D22AM"	62833	59296	58668	59073	54975	48027
"5-D22PM"	83805	77808	76969	77504	71382	63148
"5-D23AM"	79525	75409	74553	74980	69875	61628
"5-D23PM"	45965	43406	42698	43186	39377	35471
"5-D24"	52081	47732	47116	47493	43848	39840
"5-D25"	57342	54549	53652	54264	50486	45001
"5-D28AM"	69036	65312	64601	65027	60531	54135
"5-D28PM"	49624	46194	45423	45950	40879	35686
"5-D29AM"	50722	47325	46683	47058	41014	28804
"5-D29PM"	105331	97192	96462	96881	86434	67653
"5-D2AM"	74840	68130	67860	67910	60851	50511
"5-D2PM"	65926	60192	59913	60003	54253	47081
"5-D30AM"	67019	61442	61270	61311	55973	48026
"5-D30PM"	56908	51662	51498	51528	46757	40047
"5-D31AM"	88652	80563	79988	80276	71499	55694
"5-D31PM"	76233	70374	69749	70072	63985	50003
"5-D32"	97843	88388	87922	88070	79738	65819
"5-D33"	129649	115032	114265	114559	103527	80769
"5-D35AM"	55394	51896	51533	51745	48785	40526
"5-D35PM"	81245	75252	74660	75024	68756	55596
"5-D36AM"	69897	62955	62558	62752	57961	48352
"5-D36PM"	94993	86942	86612	86693	82290	71309
"5-D37AM"	87930	78508	78362	78311	70152	64655
"5-D37PM"	103454	93309	92977	93071	86153	75683
"5-D38"	84889	75856	75609	75647	70319	61026
"5-D39"	91824	84109	83757	83943	79288	68637
"5-D3AM"	74078	66512	66145	66195	58197	48854
